GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Aliens (Original 2020),Aliens (Original 2020),Aliens (Original 2020),,Original,2020,4,SS,,,Not Available,,,?,"Delta23, JPSalas, Siggi",1.0,sorcr_l1,
Alive (Brunswick 1978),Alive (Brunswick 1978),Alive (Brunswick 1978),,Brunswick,1978,4,SS,,Music,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=50,50,,?,"HSM, Roccodimarco",1.0,,
Alive (Brunswick 1978),Alive (Brunswick 1978),Alive (Brunswick 1978),,Brunswick,1978,4,SS,,Music,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=50,50,,?,"Roccodimarco, Wrenchien, HauntFreaks, Dboyrecords, Stat, Borgdog, Itchigo, Scottacus",0.0.3,,
Alley Cats (Williams 1985),Alley Cats (Williams 1985),Alley Cats (Williams 1985),,Williams,1985,,SS,,Arcade - Bowler,https://www.arcade-museum.com/game_detail.php?game_id=17598,17598,,?,Rascal,1.1,alcat_l7,
Amazon Hunt (Gottlieb 1983),Amazon Hunt (Gottlieb 1983),Amazon Hunt (Gottlieb 1983),,Gottlieb,1983,4,SS,,-,http://www.ipdb.org/machine.cgi?id=66,66,,Ed Krynski,"Batch, JPSalas, 32assassin, Arngrim, Kds70, HauntFreaks, Thalamus",1.6,amazonh,
America's Most Haunted (Spooky Pinball 2014),America's Most Haunted (Spooky Pinball 2014),America's Most Haunted (Spooky Pinball 2014),,Spooky Pinball,2014,4,SS,,Ghost Hunting - Supernatural,Not Available,,,?,"Freneticamnesic, Shoopity, UltraPeepi, Arngrim, Knorr, Ben Heckendorn",062718a,,
Andromeda (Game Plan 1985),Andromeda (Game Plan 1985),Andromeda (Game Plan 1985),,Game Plan,1985,4,SS,,Fantasy - Women,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=73,73,,"Ed Cebula, Mike Kubin","JPSalas, Siggi, Editoy, Kiwi, Albert",1.0.1,andromed,
Animal (Original 2017),Animal (Original 2017),Animal (Original 2017),,Original,2017,4,SS,,,Not Available,,,Hursty,Hursty,1.0,glxplay,
Apache! (Taito do Brasil 1978),Apache! (Taito do Brasil 1978),Apache! (Taito do Brasil 1978),,Taito do Brasil,1978,4,EM,,Native Americans - Warriors,https://www.ipdb.org/machine.cgi?id=4660,4660,,?,"JPSalas, Editoy, Loserman76, Xenonph, Tio Italo, Carlos Guizzo, Luiz Culik, Marcio Urso",2.0.0,,
Apache! (Taito do Brasil 1978),Apache! (Taito do Brasil 1978),Apache! (Taito do Brasil 1978),,Taito do Brasil,1978,4,EM,,Native Americans - Warriors,https://www.ipdb.org/machine.cgi?id=4660,4660,,?,"Editoy, Loserman76, Xenonph, Tio Italo, JPSalas, Carlos Guizzo, Luiz Culik, Marcio Urso",1.0,,
